Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52047,Bank of India Apps,0.15,46.44,0,0,0,0,0,0,0.15,46.44,Jul-22
52060,Bank of Maharashtra Apps,0.06,16.47,0,0,0,0,0,0,0.06,16.47,Jul-22
52012,BHIM,24.48,"7,823.95",0,0,0,0,0,0,24.48,"7,823.95",Jul-22
52026,Canara Bank Apps,0.47,128.79,0,0,0,0,0,0,0.47,128.79,Jul-22
52037,Central Bank of India Apps,0.22,58.37,0,0,0,0,0,0,0.22,58.37,Jul-22
52057,Citi Bank Apps,0.11,63.66,0,0,0,0,0,0,0.11,63.66,Jul-22
52058,City Union Bank Apps,0.03,10.19,0,0,0,0,0,0,0.03,10.19,Jul-22
52110,Cointab,0.07,27.3,0,0,0,0,0,0,0.07,27.3,Jul-22
52004,Cred,14.89,"19,716.43",0,0,0,0,0,0,14.89,"19,716.43",Jul-22
52040,DBS Digibank Apps,0.47,179.27,0,0,0,0,0,0,0.47,179.27,Jul-22
52024,Deutsche Bank Apps,1.87,116,0,0,0,0.01,0,0,1.87,116.01,Jul-22
52101,Dhanlaxmi Bank Apps,0.01,2.86,0,0,0,0,0,0,0.01,2.86,Jul-22
52062,Equitas Small Finance Bank Apps,0.01,4.89,0,0,0,0,0,0,0.01,4.89,Jul-22
52082,Fave,0.16,11.06,0,0,0,0,0,0,0.16,11.06,Jul-22
52025,Federal Bank Apps,3.85,539.55,0,0,0,0,0,0,3.85,539.55,Jul-22
52043,Fino Payments Bank Apps,0.06,4.26,0,0,0,0,0,0,0.06,4.26,Jul-22
52102,GoIbibo,0.01,5.1,0,0,0,0,0,0,0.01,5.1,Jul-22
52002,Google Pay,"2,130.63","3,66,669.09",0,0,0,0,0,0,"2,130.63","3,66,669.09",Jul-22
52018,Groww,0.49,290.31,0,0,0,0,0,0,0.49,290.31,Jul-22
52010,HDFC Bank Apps,9.38,"2,341.28",0,0,0,0,0,0,9.38,"2,341.28",Jul-22
52045,HSBC Bank Apps,0.11,68.43,0,0.04,0,0,0,0,0.11,68.47,Jul-22
52007,ICICI Bank Apps,32.53,"7,745.19",0.46,32.24,4.36,"3,731.87",0,0,37.34,"11,509.29",Jul-22
52075,IDBI Bank Apps,0.03,16.42,0,0,0,0,0,0,0.03,16.42,Jul-22
52020,IDFC Bank Apps,8.28,645.34,0,0,0,0,0,0,8.28,645.34,Jul-22
52017,India Post Payments Bank Apps,4.08,480.59,0,0,0,0,0,0,4.08,480.59,Jul-22
52030,Indian Bank Apps,0.2,58.15,0,0,0.01,13.23,0,0,0.21,71.39,Jul-22
52054,Indian Overseas Bank Apps,0.01,3.74,0,0,0,0,0,0,0.01,3.74,Jul-22
52044,IndusInd Bank Apps,0.99,"1,652.26",0,0,0,0,0,0,0.99,"1,652.26",Jul-22
52117,Janata Sahakari Bank Apps,0.01,4.15,0,0,0,0,0,0,0.01,4.15,Jul-22
52029,Jio Payments Bank Apps,1.9,116.59,0,0,0,0,0,0,1.9,116.59,Jul-22
52022,Jupiter,2.1,254.14,0,0,0,0,0,0,2.1,254.14,Jul-22
52051,Karnataka Bank Apps,0.35,48.01,0,0,0,0,0,0,0.35,48.01,Jul-22
52061,Karur Vysya Bank Apps,0.04,15.66,0,0,0,0,0,0,0.04,15.66,Jul-22
52009,Kotak Mahindra Bank Apps,8.86,"1,815.87",0,0,0,0.46,0,0,8.86,"1,816.33",Jul-22
52063,MakeMyTrip,0.13,58.19,0,0,0,0,0,0,0.13,58.19,Jul-22
52123,MI Pay,0.16,26.98,0,0,0,0,0,0,0.16,26.98,Jul-22
52016,Mobikwik,2.48,462.17,0,0,0,0,0,0,2.48,462.17,Jul-22
52059,NSDL Payments Bank Apps,0.02,3.5,0,0,0,0,0,0,0.02,3.5,Jul-22
52067,Paytm Payments Bank App,828.63,"94,507.77",0.55,1.91,0.38,465.62,104.32,"16,174.36",933.88,"1,11,149.66",Jul-22
52001,PhonePe,"2,993.83","5,24,742.49",0,0,0,0,0,0,"2,993.83","5,24,742.49",Jul-22
52032,Punjab National Bank Apps,0.07,35.7,0,0,0,0,0,0,0.07,35.7,Jul-22
52085,Punjab Sind Bank Apps,0.01,4.03,0,0,0,0,0,0,0.01,4.03,Jul-22
52031,RBL Bank Apps,0.52,120.48,0,0,0.02,0.69,0,0,0.54,121.17,Jul-22
52021,Samsung Pay,4.05,472.39,0,0,0,0,0,0,4.05,472.39,Jul-22
52042,South Indian Bank Apps,0.15,46.97,0,0,0,0,0,0,0.15,46.97,Jul-22
52048,Standard Chartered Bank Apps,0.14,74.11,0,0,0,0,0,0,0.14,74.11,Jul-22
52019,State Bank of India Apps,4.15,"2,013.47",0,0,0,0,0,0,4.15,"2,013.47",Jul-22
52055,Tamilnad Mercantile Bank Apps,0.05,6.78,0,0,0,0,0,0,0.05,6.78,Jul-22
52046,TataNeu,0.11,17.26,0,0,0,0,0,0,0.11,17.26,Jul-22
52122,TJSB Bank Apps,0.01,2.26,0,0,0,0,0,0,0.01,2.26,Jul-22
52050,UCO Bank Apps,0.22,46.83,0,0,0,0,0,0,0.22,46.83,Jul-22
52056,Ultracash,0.03,2.08,0,0,0,0,0,0,0.03,2.08,Jul-22
52034,Union Bank Apps,0.49,208.03,0,0,0,0,0,0,0.49,208.03,Jul-22
52095,Utkarsh Small Finance Bank Apps,0.02,4.55,0,0,0,0,0,0,0.02,4.55,Jul-22
52011,WhatsApp,6.18,502,0,0,0,0,0,0,6.18,502,Jul-22
52013,Yes Bank Apps,55.35,"13,868.41",0,0,5.45,"1,367.63",0,0,60.8,"15,236.04",Jul-22
52124,YuvaPay,0.01,21.38,0,0,0,0,0,0,0.01,21.38,Jul-22
52086,Others,0.02,5.15,0,0,0,0,0,0,0.02,5.15,Jul-22
52014,Airtel Payments Bank Apps,6.38,506.14,0,0,0,0,0,0.06,6.38,506.2,Jun-22
52065,Allahabad Bank Apps,0.02,6.79,0,0,0,0,0,0,0.02,6.79,Jun-22
52006,Amazon Pay,68.4,"6,541.84",0,0,0,0,0,0,68.4,"6,541.84",Jun-22
52038,AU Small Finance Bank Apps,0.38,120.24,0,0,0,0,0,0,0.38,120.24,Jun-22
52005,Axis Bank Apps,6.96,"1,217.71",0.11,11.05,45.53,39.61,0,0,52.6,"1,268.38",Jun-22
52015,Bajaj Finserv,1.16,85.49,0,0,0,0,0,0,1.16,85.49,Jun-22
52114,Bajaj Markets,0.01,1.2,0,0,0,0,0,0,0.01,1.2,Jun-22
52036,Bank of Baroda Apps,0.83,347.72,0,0,0,0,0,0,0.83,347.72,Jun-22
52047,Bank of India Apps,0.13,41.82,0,0,0,0,0,0,0.13,41.82,Jun-22
52060,Bank of Maharashtra Apps,0.06,15.77,0,0,0,0,0,0,0.06,15.77,Jun-22
52012,BHIM,22.6,"7,527.98",0,0,0,0,0,0,22.6,"7,527.98",Jun-22
52026,Canara Bank Apps,0.34,109.78,0,0,0,0,0,0,0.34,109.78,Jun-22
52037,Central Bank of India Apps,0.15,54.06,0,0,0,0,0,0,0.15,54.06,Jun-22
52057,Citi Bank Apps,0.13,63.54,0,0,0,0,0,0,0.13,63.54,Jun-22
52058,City Union Bank Apps,0.03,8.72,0,0,0,0,0,0,0.03,8.72,Jun-22
52110,Cointab,0.06,23.99,0,0,0,0,0,0,0.06,23.99,Jun-22
52004,Cred,13.4,"17,583.25",0,0,0,0,0,0,13.4,"17,583.25",Jun-22
52040,DBS Digibank Apps,0.46,171.69,0,0,0,0,0,0,0.46,171.69,Jun-22
52024,Deutsche Bank Apps,1.51,99.12,0,0,0,0,0,0,1.51,99.12,Jun-22
52101,Dhanlaxmi Bank Apps,0.01,2.7,0,0,0,0,0,0,0.01,2.7,Jun-22
52062,Equitas Small Finance Bank Apps,0.01,3.87,0,0,0,0,0,0,0.01,3.87,Jun-22
52082,Fave,0.12,6.94,0,0,0,0,0,0,0.12,6.94,Jun-22
52025,Federal Bank Apps,3.55,494.21,0,0,0,0,0,0,3.55,494.21,Jun-22
52043,Fino Payments bank Apps,0.05,3.17,0,0,0,0,0,0,0.05,3.17,Jun-22
52125,Finshell Pay,0.1,5.3,0,0,0,0,0,0,0.1,5.3,Jun-22
52102,GoIbibo,0.01,3.87,0,0,0,0,0,0,0.01,3.87,Jun-22
52002,Google Pay,"2,025.89","3,55,137.20",0,0,0,0,0,0,"2,025.89","3,55,137.20",Jun-22
52018,Groww,0.72,416.73,0,0,0,0,0,0,0.72,416.73,Jun-22
52010,HDFC Bank Apps,8.24,"2,066.22",0,0,0,0,0,0,8.24,"2,066.22",Jun-22
52045,HSBC Bank Apps,0.11,61.38,0,0,0,0,0,0,0.11,61.39,Jun-22
52007,ICICI Bank Apps,35.25,"6,931.44",4.11,"3,270.67",0.01,0.03,0,0,39.37,"10,202.14",Jun-22
52075,IDBI Bank Apps,0.03,15.71,0,0,0,0,0,0,0.03,15.71,Jun-22
52020,IDFC Bank Apps,7.03,663.65,0,0,0,0,0,0,7.03,663.65,Jun-22
52017,India Post Payments Bank Apps,3.98,467.34,0,0,0,0,0,0,3.98,467.34,Jun-22
52030,Indian Bank Apps,0.17,53.3,0,0.38,0,0,0,0,0.17,53.68,Jun-22
52054,Indian Overseas Bank Apps,0.01,2.98,0,0,0,0,0,0,0.01,2.98,Jun-22
52044,IndusInd Bank Apps,1,"1,645.13",0,0,0,0,0,0,1,"1,645.13",Jun-22
52117,Janata Sahakari Bank Apps,0.01,4.47,0,0,0,0,0,0,0.01,4.47,Jun-22
52029,Jio Payments Bank Apps,1.87,116.34,0,0,0,0,0,0,1.87,116.34,Jun-22
52022,Jupiter,1.89,223.22,0,0,0,0,0,0,1.89,223.22,Jun-22
52073,Jupiter Edge (LivQuick PPI),0.13,8.72,0,0,0,0,0,0,0.13,8.72,Jun-22
52051,Karnataka Bank Apps,0.32,43.13,0,0,0,0,0,0,0.32,43.13,Jun-22
52061,Karur Vysya Bank Apps,0.04,15.91,0,0,0,0,0,0,0.04,15.91,Jun-22
52009,Kotak Mahindra Bank Apps,8.33,"1,758.64",0.01,3.64,0,0,0,0,8.33,"1,762.28",Jun-22
52063,MakeMyTrip,0.11,51.45,0,0,0,0,0,0,0.11,51.45,Jun-22
52123,MI Pay,0.17,29.61,0,0,0,0,0,0,0.17,29.61,Jun-22
52016,Mobikwik,2.31,404.63,0,0,0,0,0,0,2.31,404.63,Jun-22
52059,NSDL Payments Bank Apps,0.02,2.44,0,0,0,0,0,0,0.02,2.44,Jun-22
52067,Paytm Payments Bank App,778.87,"89,388.78",0.35,412.2,0,0,98.28,"12,318.93",877.5,"1,02,119.90",Jun-22
52001,PhonePe,"2,732.59","5,01,474.48",0,0,0,0,0,0,"2,732.59","5,01,474.48",Jun-22
52032,Punjab National Bank Apps,0.08,40.68,0,0,0,0,0,0,0.08,40.68,Jun-22
52085,Punjab Sind Bank Apps,0.01,5.93,0,0,0,0,0,0,0.01,5.93,Jun-22
52031,RBL Bank Apps,0.35,121,0.07,2.89,0,0,0,0,0.42,123.89,Jun-22
52021,Samsung Pay,4.07,468.23,0,0,0,0,0,0,4.07,468.23,Jun-22
52042,South Indian Bank Apps,0.14,46.66,0,0,0,0,0,0,0.14,46.66,Jun-22
52048,Standard Chartered Bank Apps,0.13,69.13,0,0,0,0,0,0,0.13,69.13,Jun-22
52019,State Bank of India Apps,3.83,"1,947.10",0,0,0,0,0,0,3.83,"1,947.10",Jun-22
52055,Tamilnad Mercantile Bank Apps,0.03,4.02,0,0,0,0,0,0,0.03,4.02,Jun-22
52046,TataNeu,0.12,19.41,0,0,0,0,0,0,0.12,19.41,Jun-22
52122,TJSB Bank Apps,0.01,2.1,0,0,0,0,0,0,0.01,2.1,Jun-22
52050,UCO Bank Apps,0.22,42.3,0,0,0,0,0,0,0.22,42.3,Jun-22
52056,Ultracash,0.03,3.32,0,0,0,0,0,0,0.03,3.32,Jun-22
52034,Union Bank Apps,0.45,199.8,0,0,0,0,0,0,0.45,199.8,Jun-22
52095,Utkarsh Small Finance Bank Apps,0.01,3.47,0,0,0,0,0,0,0.01,3.47,Jun-22
52011,WhatsApp,23.04,429.06,0,0,0,0,0,0,23.04,429.06,Jun-22
52013,Yes Bank Apps,41.67,"9,889.56",2.35,"1,257.60",0,0,0,0,44.03,"11,147.17",Jun-22
52124,YuvaPay,0.03,58.31,0,0,0,0,0,0,0.03,58.31,Jun-22
52086,Others,0.02,6.34,0,0,0,0,0,0,0.02,6.34,Jun-22
52014,Airtel Payments Bank Apps,6.1,486.55,0,0,0,0,0,0.07,6.11,486.62,May-22
52065,Allahabad Bank Apps,0.02,6.25,0,0,0,0,0,0,0.02,6.25,May-22
52006,Amazon Pay,74.83,"6,954.18",0,0,0,0,0,0,74.83,"6,954.18",May-22
52038,AU Small Finance Bank Apps,0.35,107.22,0,0,0,0,0,0,0.35,107.22,May-22
52005,Axis Bank Apps,7.46,"1,372.31",51.14,48.08,0.06,4.77,0,0,58.66,"1,425.16",May-22
52015,Bajaj Finserv,0.79,58.53,0,0,0,0,0,0,0.79,58.53,May-22
52036,Bank of Baroda Apps,0.88,406.79,0,0,0,0,0,0,0.88,406.79,May-22
52047,Bank of India Apps,0.12,40.04,0,0,0,0,0,0,0.12,40.04,May-22
52060,Bank of Maharashtra Apps,0.06,16.47,0,0,0,0,0,0,0.06,16.47,May-22
52012,BHIM,26.57,"9,559.66",0,0,0,0,0,0,26.57,"9,559.66",May-22
52026,Canara Bank Apps,0.33,114.09,0,0,0,0,0,0,0.33,114.09,May-22
52037,Central Bank of India Apps,0.15,55.4,0,0,0,0,0,0,0.15,55.4,May-22
52057,Citi Bank Apps,0.13,78.71,0,0,0,0,0,0,0.13,78.71,May-22
52058,City Union Bank Apps,0.03,10.06,0,0,0,0,0,0,0.03,10.06,May-22
52110,Cointab,0.06,23.77,0,0,0,0,0,0,0.06,23.77,May-22
52004,Cred,13.89,"18,174.61",0,0,0,0,0,0,13.89,"18,174.61",May-22
52040,DBS Digibank Apps,0.47,186.33,0,0,0,0,0,0,0.47,186.33,May-22
52024,Deutsche Bank Apps,1.64,116.54,0,0,0,0,0,0,1.64,116.55,May-22
52101,Dhanlaxmi Bank Apps,0.01,3.35,0,0,0,0,0,0,0.01,3.35,May-22
52082,Fave,0.1,6.12,0,0,0,0,0,0,0.1,6.12,May-22
52025,Federal Bank Apps,3.42,474.12,0,0,0,0,0,0,3.42,474.12,May-22
52043,Fino Payments bank Apps,0.04,3.83,0,0,0,0,0,0,0.04,3.83,May-22
52126,Finserv Markets,0.01,1.01,0,0,0,0,0,0,0.01,1.01,May-22
52125,Finshell Pay,0.09,4.68,0,0,0,0,0,0,0.09,4.68,May-22
52102,GoIbibo,0.01,2.41,0,0,0,0,0,0,0.01,2.41,May-22
52002,Google Pay,"2,079.92","3,65,989.27",0,0,0,0,0,0,"2,079.92","3,65,989.27",May-22
52018,Groww,0.51,335.28,0,0,0,0,0,0,0.51,335.28,May-22
52010,HDFC Bank Apps,6.95,"1,981.11",0,0,0,0,0,0,6.95,"1,981.11",May-22
52045,HSBC Bank Apps,0.1,63.07,0,0.1,0,0,0,0,0.1,63.17,May-22
52007,ICICI Bank Apps,32.75,"9,221.65",2.01,120.93,2.82,"1,714.32",0,0,37.59,"11,056.90",May-22
52075,IDBI Bank Apps,0.03,18.48,0,0,0,0,0,0,0.03,18.48,May-22
52020,IDFC Bank Apps,4.75,626.34,0,0,0,0,0,0,4.75,626.34,May-22
52017,India Post Payments Bank Apps,3.1,351.88,0,0,0,0,0,0,3.1,351.88,May-22
52030,Indian Bank Apps,0.16,53.11,0,0,0,0.02,0,0,0.16,53.13,May-22
52054,Indian Overseas Bank Apps,0.01,2.35,0,0,0,0,0,0,0.01,2.35,May-22
52044,IndusInd Bank Apps,1.01,"1,711.21",0,0,0,0,0,0,1.01,"1,711.21",May-22
52117,Janata Sahakari Bank Apps,0.01,4.79,0,0,0,0,0,0,0.01,4.79,May-22
52029,Jio Payments Bank Apps,2.08,127.88,0,0,0,0,0,0,2.08,127.88,May-22
52022,Jupiter,1.79,215.44,0,0,0,0,0,0,1.79,215.44,May-22
52073,Jupiter Edge (LivQuick PPI),0.1,5.74,0,0,0,0,0,0,0.1,5.74,May-22
52051,Karnataka Bank Apps,0.33,40.34,0,0,0,0,0,0,0.33,40.34,May-22
52061,Karur Vysya Bank Apps,0.04,17.69,0,0,0,0,0,0,0.04,17.69,May-22
52009,Kotak Mahindra Bank Apps,8.5,"1,882.81",0,0,0,2.19,0,0,8.5,"1,885.00",May-22
52063,MakeMyTrip,0.09,43.26,0,0,0,0,0,0,0.09,43.26,May-22
52123,MI Pay,0.2,33.9,0,0,0,0,0,0,0.2,33.9,May-22
52016,Mobikwik,2.46,397.7,0,0,0,0,0,0,2.46,397.7,May-22
52059,NSDL Payments Bank Apps,0.02,2.39,0,0,0,0,0,0,0.02,2.39,May-22
52067,Paytm Payments Bank App,780.87,"91,546.50",3.66,5.96,0.19,224.61,102.73,"16,499.70",887.45,"1,08,276.78",May-22
52001,PhonePe,"2,778.75","5,11,028.81",0,0,0,0,0,0,"2,778.75","5,11,028.81",May-22
52032,Punjab National Bank Apps,0.09,43.77,0,0,0,0,0,0,0.09,43.77,May-22
52085,Punjab Sind Bank Apps,0.01,6.39,0,0,0,0,0,0,0.01,6.39,May-22
52031,RBL Bank Apps,0.32,124.01,0,0,0.05,1.38,0,0,0.38,125.39,May-22
52021,Samsung Pay,4.11,490.3,0,0,0,0,0,0,4.11,490.3,May-22
52042,South Indian Bank Apps,0.14,49.73,0,0,0,0,0,0,0.14,49.73,May-22
52048,Standard Chartered Bank Apps,0.13,70.48,0,0,0,0,0,0,0.13,70.48,May-22
52019,State Bank of India Apps,4.18,"2,195.66",0,0,0,0,0,0,4.18,"2,195.66",May-22
52055,Tamilnad Mercantile Bank Apps,0.01,1.13,0,0,0,0,0,0,0.01,1.13,May-22
52046,TataNeu,0.22,30.33,0,0,0,0,0,0,0.22,30.33,May-22
52050,UCO Bank Apps,0.22,46.39,0,0,0,0,0,0,0.22,46.39,May-22
52056,Ultracash,0.05,4.4,0,0,0,0,0,0,0.05,4.4,May-22
52034,Union Bank Apps,0.45,211.85,0,0,0,0,0,0,0.45,211.85,May-22
52095,Utkarsh Small Finance Bank Apps,0.01,4.43,0,0,0,0,0,0,0.01,4.43,May-22
52011,WhatsApp,3.48,294.98,0,0,0,0,0,0,3.48,294.98,May-22
52013,Yes Bank Apps,38.19,"10,760.55",0,0,1.5,999.61,0,0,39.69,"11,760.16",May-22
52124,YuvaPay,0.04,88.95,0,0,0,0,0,0,0.04,88.95,May-22
52086,Others,0.03,10.7,0,0,0,0,0,0,0.03,10.7,May-22
52014,Airtel Payments Bank Apps,5.29,454.64,0,0,0,0,0.01,6.26,5.3,460.9,Apr-22
52006,Amazon Pay,73.21,"6,699.57",0,0,0,0,0,0,73.21,"6,699.57",Apr-22
52038,AU Small Finance Bank Apps,0.32,109.89,0,0,0,0,0,0,0.32,109.89,Apr-22
52005,Axis Bank Apps,7.19,"1,213.44",56.84,43.71,0,0,0,0,64.03,"1,257.15",Apr-22
52015,Bajaj Finserv,0.52,38.61,0,0,0,0,0,0,0.52,38.61,Apr-22
52036,Bank of Baroda Apps,0.77,344.65,0,0,0,0,0,0,0.77,344.65,Apr-22
52047,Bank of India Apps,0.1,32.62,0,0,0,0,0,0,0.1,32.62,Apr-22
52060,Bank of Maharashtra Apps,0.05,14.56,0,0,0,0,0,0,0.05,14.56,Apr-22
52012,BHIM,25.69,"8,354.34",0,0,0,0,0,0,25.69,"8,354.34",Apr-22
52026,Canara Bank Apps,0.31,110.31,0,0,0,0,0,0,0.31,110.31,Apr-22
52037,Central Bank of India Apps,0.13,51.04,0,0,0,0,0,0,0.13,51.04,Apr-22
52057,Citi Bank Apps,0.08,66.03,0,0,0,0,0,0,0.08,66.03,Apr-22
52058,City Union Bank Apps,0.03,8.41,0,0,0,0,0,0,0.03,8.41,Apr-22
52110,Cointab,0.07,28.5,0,0,0,0,0,0,0.07,28.5,Apr-22
52004,Cred,13.05,"16,372.92",0,0,0,0,0,0,13.05,"16,372.92",Apr-22
52040,DBS Digibank Apps,0.47,175.45,0,0,0,0,0,0,0.47,175.45,Apr-22
52024,Deutsche Bank Apps,1.51,128.13,0,0,0,0.3,0,0,1.51,128.43,Apr-22
52101,Dhanlaxmi Bank Apps,0.01,3.02,0,0,0,0,0,0,0.01,3.02,Apr-22
52082,Fave,0.18,7.73,0,0,0,0,0,0,0.18,7.73,Apr-22
52025,Federal Bank Apps,2.7,375.64,0,0,0,0,0,0,2.7,375.64,Apr-22
52043,Fino Payments bank Apps,0.04,3.26,0,0,0,0,0,0,0.04,3.26,Apr-22
52126,Finserv Markets,0.01,1.06,0,0,0,0,0,0,0.01,1.06,Apr-22
52125,Finshell Pay,0.08,4.45,0,0,0,0,0,0,0.08,4.45,Apr-22
52102,GoIbibo,0.01,3.31,0,0,0,0,0,0,0.01,3.31,Apr-22
52002,Google Pay,"1,914.77","3,44,791.35",0,0,0,0,0,0,"1,914.77","3,44,791.35",Apr-22
52018,Groww,0.61,376.18,0,0,0,0,0,0,0.61,376.18,Apr-22
52010,HDFC Bank Apps,5.9,"1,759.12",0,0,0,0,0,0,5.9,"1,759.12",Apr-22
52045,HSBC Bank Apps,0.11,59.7,0,0.02,0,0,0,0,0.11,59.72,Apr-22
52007,ICICI Bank Apps,32.82,"9,086.72",4.83,269.45,0,0,0,0,37.65,"9,356.17",Apr-22
52075,IDBI Bank Apps,0.03,16.78,0,0,0,0,0,0,0.03,16.78,Apr-22
52020,IDFC Bank Apps,2.49,532.69,0,0,0,0,0,0,2.49,532.69,Apr-22
52017,India Post Payments Bank Apps,2.8,328.53,0,0,0,0,0,0,2.8,328.53,Apr-22
52030,Indian Bank Apps,0.14,49.9,0,0,0,0,0,0,0.14,49.9,Apr-22
52054,Indian Overseas Bank Apps,0.01,1.52,0,0,0,0,0,0,0.01,1.52,Apr-22
52044,IndusInd Bank Apps,1.02,"2,596.71",0,0,0,0,0,0,1.02,"2,596.71",Apr-22
52117,Janata Sahakari Bank Apps,0.01,4.28,0,0,0,0,0,0,0.01,4.28,Apr-22
52029,Jio Payments Bank Apps,2.1,126.25,0,0,0,0,0,0,2.1,126.25,Apr-22
52022,Jupiter,1.47,186.13,0,0,0,0,0,0,1.47,186.13,Apr-22
52127,Jupiter Edge (LivQuick PPI App),0.01,0.43,0,0,0,0,0,0,0.01,0.43,Apr-22
52051,Karnataka Bank Apps,0.27,35.58,0,0,0,0,0,0,0.27,35.58,Apr-22
52061,Karur Vysya Bank Apps,0.04,18.54,0,0,0,0,0,0,0.04,18.54,Apr-22
52009,Kotak Mahindra Bank Apps,7.96,"1,684.35",0,0,0,0,0,0,7.96,"1,684.35",Apr-22
52063,MakeMyTrip,0.09,41.18,0,0,0,0,0,0,0.09,41.18,Apr-22
52123,MI Pay,0.19,28.58,0,0,0,0,0,0,0.19,28.58,Apr-22
52016,Mobikwik,2.37,421.47,0,0,0,0,0,0,2.37,421.47,Apr-22
52059,NSDL Payments Bank Apps,0.02,2.32,0,0,0,0,0,0,0.02,2.32,Apr-22
52067,Paytm Payments Bank App,740.76,"85,918.88",11.15,15.98,0,0,99.7,"15,714.20",851.61,"1,01,649.06",Apr-22
52001,PhonePe,"2,616.26","4,86,557.03",0,0,0,0,0,0,"2,616.26","4,86,557.03",Apr-22
52032,Punjab National Bank Apps,0.09,46.27,0,0,0,0,0,0,0.09,46.27,Apr-22
52085,Punjab Sind Bank Apps,0.01,5.38,0,0,0,0,0,0,0.01,5.38,Apr-22
52031,RBL Bank Apps,0.3,113.65,0,0,0,0,0,0,0.3,113.65,Apr-22
52021,Samsung Pay,3.81,470.11,0,0,0,0,0,0,3.81,470.11,Apr-22
52042,South Indian Bank Apps,0.13,45.03,0,0,0,0,0,0,0.13,45.03,Apr-22
52048,Standard Chartered Bank Apps,0.12,68.15,0,0,0,0,0,0,0.12,68.15,Apr-22
52019,State Bank of India Apps,4.03,"2,118.00",0,0,0,0,0,0,4.03,"2,118.00",Apr-22
52128,SuperPay,0.02,0.4,0,0,0,0,0,0,0.02,0.4,Apr-22
52055,Tamilnad Mercantile Bank Apps,0.01,0.26,0,0,0,0,0,0,0.01,0.26,Apr-22
52046,TataNeu,0.35,32.82,0,0,0,0,0,0,0.35,32.82,Apr-22
52050,UCO Bank Apps,0.21,41.48,0,0,0,0,0,0,0.21,41.48,Apr-22
52056,Ultracash,0.03,2.22,0,0,0,0,0,0,0.03,2.22,Apr-22
52034,Union Bank Apps,0.42,198.34,0,0,0,0,0,0,0.42,198.34,Apr-22
52095,Utkarsh Small Finance Bank Apps,0.01,3.88,0,0,0,0,0,0,0.01,3.88,Apr-22
52011,WhatsApp,2.5,242.4,0,0,0,0,0,0,2.5,242.4,Apr-22
52013,Yes Bank Apps,34.07,"10,246.99",0,0,0,0,0,0,34.07,"10,246.99",Apr-22
52124,YuvaPay,0.06,103.34,0,0,0,0,0,0,0.06,103.34,Apr-22
52086,Others,0.02,8.26,0,0,0,0,0,0,0.02,8.26,Apr-22
52014,Airtel Payments Bank Apps,8.33,"1,934.41",0,0,0,0,4.82,"2,557.85",13.16,"4,492.25",Mar-22
52065,Allahabad Bank Apps,0.02,6.15,0,0,0,0,0,0,0.02,6.15,Mar-22
52006,Amazon Pay,76.34,"6,894.78",0,0,0,0,0,0,76.34,"6,894.78",Mar-22
52038,AU Small Finance Bank Apps,0.29,104.48,0,0,0,0,0,0,0.29,104.48,Mar-22
52005,Axis Bank Apps,7.09,"1,045.13",54.21,39.81,0,0,0,0,61.29,"1,084.94",Mar-22
52015,Bajaj Finserv,0.35,24.08,0,0,0,0,0,0,0.35,24.08,Mar-22
52036,Bank of Baroda Apps,0.69,328.61,0,0,0,0,0,0,0.69,328.61,Mar-22
52047,Bank of India Apps,0.08,26.22,0,0,0,0,0,0,0.08,26.22,Mar-22
52060,Bank of Maharashtra Apps,0.05,15,0,0,0,0,0,0,0.05,15,Mar-22
52012,BHIM,24.88,"8,050.24",0,0,0,0,0,0,24.88,"8,050.24",Mar-22
52026,Canara Bank Apps,0.31,109.68,0,0,0,0,0,0,0.31,109.68,Mar-22
52037,Central Bank of India Apps,0.14,50.67,0,0,0,0,0,0,0.14,50.67,Mar-22
52057,Citi Bank Apps,0.11,68.41,0,0,0,0,0,0,0.11,68.41,Mar-22
52058,City Union Bank Apps,0.03,7.3,0,0,0,0,0,0,0.03,7.3,Mar-22
52110,Cointab,0.08,33.22,0,0,0,0,0,0,0.08,33.22,Mar-22
52004,Cred,12.11,"16,136.11",0,0,0,0,0,0,12.11,"16,136.11",Mar-22
52040,DBS Digibank Apps,0.49,185.52,0,0,0,0,0,0,0.49,185.52,Mar-22
52129,Dena Bank Apps,0.02,29.32,0,0,0,0,0,0,0.02,29.32,Mar-22
52024,Deutsche Bank Apps,1.02,91.66,0,0,0,1.36,0,0,1.02,93.02,Mar-22
52101,Dhanlaxmi Bank Apps,0.01,3.29,0,0,0,0,0,0,0.01,3.29,Mar-22
52082,Fave,0.37,13,0,0,0,0,0,0,0.37,13,Mar-22
52025,Federal Bank Apps,2.45,360.96,0,0,0,0,0,0,2.45,360.96,Mar-22
52043,Fino Payments bank Apps,0.04,3.47,0,0,0,0,0,0,0.04,3.47,Mar-22
52126,Finserv Markets,0.03,1.49,0,0,0,0,0,0,0.03,1.49,Mar-22
52125,Finshell Pay,0.08,4,0,0,0,0,0,0,0.08,4,Mar-22
